obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3658694690.36,2,33.3146018982,3724598943.65,3724598943.68,3658694690.36,0.0,internal_timestamp,550.159973145,355756,1449705890,5.42780017853,3.33146018982,34.1128267509,1029.46488997,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('1',)",3658694701.35,2,33.3097000122,3724598943.65,3724598943.68,3658694701.35,0.0,internal_timestamp,549.630004883,352842,1449705901,5.4201002121,3.33097000122,34.11530061,1029.46542339,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('2',)",3658694712.35,2,33.3170013428,3724598943.65,3724598943.68,3658694712.35,0.0,internal_timestamp,549.109985352,353518,1449705912,5.4310002327,3.33170013428,34.1128415507,1029.45966223,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('3',)",3658694723.35,2,33.317199707,3724598943.65,3724598943.68,3658694723.35,0.0,internal_timestamp,548.530029297,353226,1449705923,5.43170022964,3.3317199707,34.1126472864,1029.45675615,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('4',)",3658694734.35,2,33.3120002747,3724598943.65,3724598943.68,3658694734.35,0.0,internal_timestamp,547.969970703,349746,1449705934,5.42350006104,3.33120002747,34.1153035685,1029.45736121,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('5',)",3658694745.36,2,33.3160018921,3724598943.65,3724598943.68,3658694745.36,0.0,internal_timestamp,547.33001709,358892,1449705945,5.42990016937,3.33160018921,34.113700983,1029.45231837,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('6',)",3658694756.36,2,33.3126983643,3724598943.65,3724598943.68,3658694756.36,0.0,internal_timestamp,546.679992676,358696,1449705956,5.42579984665,3.33126983643,34.1144124497,1029.45043752,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('7',)",3658694767.36,2,33.3102989197,3724598943.65,3724598943.68,3658694767.36,0.0,internal_timestamp,545.880004883,356683,1449705967,5.42320013046,3.33102989197,34.1147092819,1029.4473438,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('8',)",3658694778.35,2,33.3212013245,3724598943.65,3724598943.68,3658694778.35,0.0,internal_timestamp,545.150024414,353554,1449705978,5.43830013275,3.33212013245,34.1122034497,1029.4400286,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('9',)",3658694789.36,2,33.320400238,3724598943.65,3724598943.68,3658694789.36,0.0,internal_timestamp,544.599975586,360196,1449705989,5.43839979172,3.3320400238,34.1114646573,1029.43690991,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
